Series,Name,Code,Note
Season 5: Master Quest,I Politoed Ya So!,EP249,
Season 5: Master Quest,The Ice Cave!,EP250,"Banned: Jynx, Skipped in India"
Season 5: Master Quest,Beauty is Skin Deep,EP251,
Season 5: Master Quest,Fangs for Nothin',EP252,
Season 5: Master Quest,Great Bowls of Fire!,EP253,
Season 5: Master Quest,Better Eight Than Never,EP254,
Season 5: Master Quest,Why? Wynaut!,EP255,
Season 5: Master Quest,Just Add Water,EP256,
Pikachu Short,Camp Pikachu,PK11,
Movies,Pokémon Heroes: Latios & Latias,M5,
Season 5: Master Quest,Lapras of Luxury,EP257,
Season 5: Master Quest,Hatch Me If You Can,EP258,
Season 5: Master Quest,Entei at Your Own Risk,EP259,
Season 5: Master Quest,A Crowning Achievement,EP260,
Season 5: Master Quest,"Here's Lookin' at You, Elekid",EP261,
Season 5: Master Quest,"You're a Star, Larvitar!",EP262,
Season 5: Master Quest,Address Unown!,EP263,
Season 5: Master Quest,Mother of All Battles,EP264,
Season 5: Master Quest,Pop Goes The Sneasel,EP265,
Season 5: Master Quest,A Claim to Flame!,EP266,
Season 5: Master Quest,"Love, Pokémon Style",EP267,
Season 5: Master Quest,Tie One On!,EP268,
Season 5: Master Quest,The Ties That Bind,EP269,
Season 5: Master Quest,Can't Beat the Heat!,EP270,
Season 5: Master Quest,Playing with Fire!,EP271,
Season 5: Master Quest,Johto Photo Finish,EP272,
Season 5: Master Quest,Gotta Catch Ya Later!,EP273,
Season 5: Master Quest,Hoenn Alone!,EP274,
Season 6: Advanced,Get the Show on the Road!,AG001,
Season 6: Advanced,A Ruin with a View,AG002,
Pokémon Chronicles,A Family That Battles Together Stays Together!,HS01,
Season 6: Advanced,There's no Place Like Hoenn,AG003,
Pokémon Chronicles,Cerulean Blues,HS02,
Season 6: Advanced,You Never Can Taillow,AG004,
Pokémon Chronicles,We're No Angels!,HS03,
Season 6: Advanced,In the Knicker of Time!,AG005,
Season 6: Advanced,A Poached Ego!,AG006,
Season 6: Advanced,Tree's a Crowd,AG007,
Pokémon Chronicles,Showdown at the Oak Corral,HS04,
Season 6: Advanced,A Tail with a Twist,AG008,
Season 6: Advanced,Taming of the Shroomish,AG009,
Season 6: Advanced,You Said a Mouthful!,AG010,
Season 6: Advanced,A Bite to Remember,AG011,
Season 6: Advanced,The Lotad Lowdown,AG012,
Season 6: Advanced,All Things Bright and Beautifly!,AG013,
Pokémon Chronicles,The Blue Badge of Courage,HS05,
Season 6: Advanced,All in a Day's Wurmple,AG014,
Pokémon Chronicles,Of Meowth and Pokémon (Part 1),HS06,
Pokémon Chronicles,Of Meowth and Pokémon (Part 2),HS07,
Pokémon Chronicles,Trouble in Big Town,PCBT01,"Japan only, Never Dubbed; Pichu Bros. short"
Pokémon Chronicles,"Big Meowth, Little Dreams (Part 1)",HS09,
Pokémon Chronicles,"Big Meowth, Little Dreams (Part 2)",HS10,
Season 6: Advanced,Gonna Rule The School!,AG015,
Season 6: Advanced,The Winner by a Nosepass,AG016,
Season 6: Advanced,Stairway to Devon,AG017,
Season 6: Advanced,On a Wingull and a Prayer!,AG018,
Season 6: Advanced,Sharpedo Attack!,AG019,
Pokémon Chronicles,Oaknapped!,HS08,
Season 6: Advanced,Brave the Wave,AG020,
Season 6: Advanced,Which Wurmple's Which?,AG021,
Season 6: Advanced,A Hole Lotta Trouble,AG022,
Season 6: Advanced,Gone Corphishin',AG023,
Season 6: Advanced,A Corphish Out of Water,AG024,
Season 6: Advanced,A Mudkip Mission,AG025,
Season 6: Advanced,Turning Over a Nuzleaf,AG026,
Season 6: Advanced,A Three Team Scheme,AG027,
Season 6: Advanced,Seeing is Believing!,AG028,
Season 6: Advanced,"Ready, Willing, and Sableye",AG029,
Season 6: Advanced,A Meditite Fight!,AG030,
Season 6: Advanced,Just One of the Geysers,AG031,
Season 6: Advanced,Abandon Ship!,AG032,
Season 6: Advanced,Now That's Flower Power!,AG033,
Season 6: Advanced,Having a Wailord of a Time,AG034,
Season 6: Advanced,"Win, Lose or Drew!",AG035,
Season 6: Advanced,The Spheal of Approval,AG036,
Pikachu Short,Gotta Dance!,PK12,
Movies,Pokémon: Jirachi: Wish Maker,M6,
Season 6: Advanced,Jump for Joy!,AG037,
Season 6: Advanced,A Different Kind of Misty!,AG038,
Season 6: Advanced,A Poké-BLOCK Party!,AG039,
Season 6: Advanced,Watt's with Wattson?,AG040,
Pokémon Chronicles,A Date with Delcatty,HS11,
Season 7: Advanced Challenge,What You Seed is What You Get,AG041,
Season 7: Advanced Challenge,Love at First Flight,AG042,
Season 7: Advanced Challenge,Let Bagons Be Bagons,AG043,
Season 7: Advanced Challenge,The Princess and the Togepi,AG044,
Season 7: Advanced Challenge,A Togepi Mirage!,AG045,
Pokémon Chronicles,Training Daze,HS12,
Pokémon Chronicles,Celebi and Joy!,HS13,
Season 7: Advanced Challenge,Candid Camerupt!,AG046,
Pokémon Chronicles,Journey to the Starting Line!,HS14,
Season 7: Advanced Challenge,I Feel Skitty!,AG047,
Season 7: Advanced Challenge,ZigZag Zangoose!,AG048,
Season 7: Advanced Challenge,Maxxed Out!,AG049,
Season 7: Advanced Challenge,Pros and Con Artists,AG050,
Season 7: Advanced Challenge,Come What May!,AG051,
Season 7: Advanced Challenge,Cheer Pressure,AG052,
